gene,beta,SE,HR,HR_lower_95,HR_upper_95,p_value,n_events,q_value
MYC,0.12755083280943175,0.01040982885869536,1.1360426150111893,1.1130989176711963,1.1594592381974589,1.6204783366283433e-34,4703,1.620478336628343e-33
BRCA1,0.15458689537215523,0.013618330739020006,1.1671756958175223,1.1364341909222924,1.198748784389812,7.299837326250761e-30,4703,3.6499186631253804e-29
CDKN2A,0.06923649387160574,0.006208852820137164,1.0716896272103544,1.0587271301614702,1.0848108302420698,7.060437949455965e-29,4703,2.3534793164853217e-28
EGFR,0.06921979948725376,0.00837781869074876,1.0716717361611523,1.054218333904915,1.089414093030036,1.429280330148036e-16,4703,3.5732008253700896e-16
PTEN,0.09935893684311892,0.018103769150374392,1.1044626607611034,1.0659604261031888,1.1443555868906259,4.0581779482678547e-08,4703,8.116355896535709e-08
KRAS,0.08765639548077597,0.017037989680052778,1.0916129744294256,1.0557617553212009,1.1286816177387713,2.6786071487270844e-07,4703,4.4643452478784743e-07
RB1,0.052233656201343626,0.014564273246121804,1.053621899044828,1.023970999256757,1.0841313933232513,0.0003352439666320438,4703,0.0004789199523314912
JAK2,0.02797736875006754,0.01696872629565803,1.0283724108050178,0.9947331948574958,1.0631492150580413,0.09919667274470496,4703,0.1239958409308812
TP53,0.016697427984091316,0.01481107639724634,1.0168376091696352,0.9877439760905158,1.046788184438463,0.2595899358267731,4703,0.2884332620297479
MDM2,0.01032492691917914,0.01599259605867986,1.0103784128982376,0.9791993947066737,1.0425502127241089,0.5185341071670776,4703,0.5185341071670776
